,Indicador Global de la Actividad Económica,Actividades primarias,Actividades secundarias,21 Minería ,"22 Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final",23 Construcción ,31-33 Industrias manufactureras ,Actividades terciarias,43 Comercio al por mayor,46 Comercio al por menor,"48-49-51 Transportes, correos y almacenamiento; Información en medios masivos ",52-53 Servicios financieros y de seguros; Servicios inmobiliarios y de alquiler de bienes muebles e intangibles ,"54-55-56 Servicios profesionales, científicos y técnicos; Corporativos; Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación",61-62 Servicios educativos; Servicios de salud y de asistencia social ,"71-81 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos; Otros servicios excepto actividades gubernamentales",72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,"93 Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",Year,Month
72,75.4034735600649,88.2768504136941,87.0251146458687,102.751123398862,51.8322053226929,85.0049907963069,84.3436584763544,68.4280065479683,61.1657249928068,67.4115739170927,62.633496412391,57.0347212465395,73.7985415961699,83.7778968118842,76.6936748937541,98.2940429919487,87.4111982276577,1999,1
73,75.2381604182983,81.9669338100636,86.6597023062926,100.779072348295,52.5263539615063,83.3562347814313,84.8970154545862,68.7850983654013,61.7035468046103,68.4152491039303,63.0838004570689,57.2169311707106,73.7335362907868,83.5175457944405,76.5772853780918,98.6101579894003,87.0784426998414,1999,2
74,75.8169842244383,81.1721945758019,87.1498875697236,101.249317228227,53.3134941161278,83.8615388311888,85.1037995772206,69.2326464968554,62.5565440382009,69.3087932783436,63.5358911345362,57.4453693607062,73.8454443420352,84.1742876565141,76.8120041595189,98.0176304607345,86.9125291676969,1999,3
75,75.1590673988053,75.0403640163819,86.5156619639517,98.4288766210019,54.0374632450646,82.1223664263799,86.4692408224119,68.8593199108593,61.1490202692914,68.9783399925157,63.7589699427239,57.7040228598695,74.0785222344192,84.1331340864785,77.0035836678862,95.3497237809504,86.8983173491799,1999,4
76,75.8799378040006,79.3285480283067,86.6940895320634,98.5584867597338,54.2284434066032,82.4489677984071,86.69206381377,69.7989716311865,63.6565848920332,70.2685903779507,64.3065011711391,57.8760828167903,74.1961181593277,84.3286696775585,77.2813246232908,95.4178978040527,86.8986267718789,1999,5
77,75.3503352548211,67.8742728096937,86.0984285814478,95.4840811528573,54.4246516227546,83.3571967650164,86.2047123472321,69.9272401285127,63.4461854576153,70.5894445982954,64.2128044634665,58.1025356664834,74.5236055727022,84.0554719552501,78.0524971118152,97.3893325563664,86.8902551195312,1999,6
78,76.2957303940173,81.757926500801,86.6821518342575,97.423176579144,55.131327073007,82.0835463328607,87.2916143803896,70.2535067713645,63.7713592362668,70.529995999519,64.9917342116822,58.4693627658524,75.8090775578072,83.9990146253242,78.5832711169727,98.737409761608,86.860403301789,1999,7
79,76.0180297640634,75.5340643192786,86.2271426164449,96.0755491731219,54.7349624028767,81.235725593163,87.0736232779731,70.3915294389595,63.6811651256989,70.6474462059951,65.2182429309283,58.6137527372818,76.0266377710806,84.2228211370208,78.5748059132812,97.9778596122062,86.7992995713027,1999,8
80,76.5267321156658,78.6702630734192,86.7544893939313,98.0695745151842,55.3895370336694,82.6376778778478,87.4670755940419,70.8038424373649,64.3924579201732,71.6727737828485,65.5243250343669,58.8510007757946,76.3495959675384,84.3213303567039,78.6480098585658,98.2506262335859,86.7284572288555,1999,9
81,76.5070995122461,75.4119560256073,86.6573271080268,97.4945355414769,55.4289032708009,81.6228510785755,86.1249780250179,71.2390077236414,65.7315550791199,72.940627174552,65.7530567839114,59.0887519902719,76.2030276512628,84.3974664578328,77.6639520713629,99.0549204351223,86.6601926830261,1999,10
