,Year,Month,CA Rural,CA Urbano,CANA Rural,CANA Urbano
158,2005,3,496.68192931551823,717.4906639396286,1026.5050701648975,1668.705746030726
159,2005,4,517.0251958619228,737.7001396259362,1046.2087099329133,1687.4889181761434
160,2005,5,528.928460247097,749.9635625184372,1051.4313387147142,1687.1945308618792
161,2005,6,514.1883439411969,736.7961057149265,1038.1480219233536,1676.35165096228
162,2005,7,518.9956287986373,741.4546143072374,1043.4479240675666,1681.750644062974
163,2005,8,516.16944473447,739.6294077319053,1042.251716953805,1683.1228980285846
164,2005,9,515.3570042455102,740.0307251377294,1045.5234624208372,1691.4744884139118
165,2005,10,509.45262148026376,735.2191806315342,1042.919057383961,1692.2357075466266
166,2005,11,502.0287033447728,728.9388575599002,1045.2760226533514,1703.5715210470366
167,2005,12,518.6198884865576,745.2724328200317,1063.8338441285027,1723.0517646505175
168,2006,1,531.4791305571221,758.6127159715799,1078.7581486978374,1739.7889191208117
169,2006,2,530.0050033471803,757.3846979501105,1077.6029041967456,1739.2564606137885
170,2006,3,518.110585933622,746.736956885784,1067.222921816383,1731.0803375105036
171,2006,4,517.2983809640515,746.6736604857393,1065.5925460645285,1729.1335723658844
172,2006,5,521.8420546043308,751.7679345310293,1062.4628813594368,1720.3667138426795
173,2006,6,515.1738729982144,747.1957253414258,1057.0417556357634,1717.906169628886
174,2006,7,515.4226679658193,748.0142356936036,1058.2661739651571,1720.2832322616227
175,2006,8,525.9475886183585,757.0832730062076,1070.5662595183585,1732.5897011062075
176,2006,9,558.6866762054178,787.6125725109639,1106.4034538444873,1769.3009512634458
177,2006,10,569.8466159150762,798.958618469103,1120.6970454654522,1785.8086381247763
178,2006,11,556.3897180905653,788.9643457110633,1116.1476131416134,1792.0888295720988
179,2006,12,570.8349586733291,805.3680411540793,1132.2280595129052,1810.6031758062954
180,2007,1,578.430173231915,814.8490459688014,1141.5624521813702,1823.0054972183266
181,2007,2,575.0197263684704,813.6996918576551,1139.3057594747527,1823.8979860345553
182,2007,3,575.9814237873545,815.5660531767098,1141.0704901254508,1827.0474657577784
183,2007,4,580.3159380094345,820.7315817801401,1142.7040499567133,1826.7687152980843
184,2007,5,560.1088987160012,799.9341717866591,1117.1437913407992,1796.0150152111798
185,2007,6,550.6651745238271,791.0812910695396,1108.6910584970358,1788.7226992363717
186,2007,7,559.1327145337125,800.8296881655465,1117.9757249530257,1799.865447254168
187,2007,8,563.922186691544,807.1797376698951,1124.7599559852424,1810.130164737493
188,2007,9,580.0308288279535,824.3466527925067,1143.92469027934,1833.4527351069428
189,2007,10,577.1064417957384,823.3785944077724,1145.677157329775,1840.7656721225112
190,2007,11,580.108052000832,827.5055808102449,1155.3088427531877,1855.6134913117935
191,2007,12,591.0701783467763,840.6691303363004,1168.3472753843953,1870.8355259542057
192,2008,1,590.484121205186,842.0722650185485,1170.236633973516,1876.9220460377724
193,2008,2,578.4414350118162,832.5018353324926,1160.6045390081215,1871.3966031416678
194,2008,3,588.8102054712853,842.9619380478642,1174.4433432383003,1887.2849047400873
195,2008,4,600.0001423372412,855.6269032789638,1183.6851831617196,1895.6691407764565
196,2008,5,601.469033035542,858.5757766768735,1180.7662349948182,1889.8747700141894
197,2008,6,602.3711816837246,860.5076373902397,1184.2513003173867,1896.507006906766
198,2008,7,610.5219215599144,869.6793437130551,1195.007643874228,1910.0763605067737
199,2008,8,613.8983164380851,874.7151993400015,1203.5091224586615,1923.9663447760868
200,2008,9,619.5838842398912,882.1629220717358,1215.3426903059217,1942.2025927891846
201,2008,10,626.7969462322858,890.543029528811,1228.3517037073873,1960.1328446228858
202,2008,11,641.0212224431862,908.2483722393225,1251.4312302117955,1993.198619113985
203,2008,12,653.7801439788841,921.4725387117826,1266.6904272555232,2009.129381206333
204,2009,1,648.210429299837,918.9067532481847,1262.2454681789775,2008.105681367078
205,2009,2,642.7109078942448,915.4119182275847,1258.781659361297,2007.879770785137
206,2009,3,656.2027264629696,931.6818739551661,1274.3593484296239,2027.2039683369956
207,2009,4,672.8968582137838,948.4075801423722,1289.9819396030052,2041.7374224623459
208,2009,5,672.7557522201488,949.637064371074,1283.6922118647894,2030.6375005873765
209,2009,6,673.269228793466,951.4779026116792,1284.8479777648927,2033.1916916312866
210,2009,7,677.16486679629,957.0783073278117,1289.6775942637032,2039.417019157879
211,2009,8,682.8242155335022,964.6800098493004,1298.466130514878,2051.0019932757696
212,2009,9,699.2923792890649,981.0525891791766,1317.4062894443903,2071.89371890098
213,2009,10,691.7801240473905,974.7739055186047,1315.0223381355195,2075.7589463244663
214,2009,11,683.978833807436,967.2977220922553,1315.2599806351855,2082.228013005528
215,2009,12,682.4976855657286,964.6393414030404,1315.4166519444757,2080.7937907682835
216,2010,1,692.6609536798485,977.9353158239825,1337.0541267077333,2118.048906277739
217,2010,2,697.3661421387484,985.581800189713,1346.1943090646175,2134.0951760840544
218,2010,3,725.4864001059007,1014.5298093498579,1377.2124503475482,2167.7721082999224
219,2010,4,717.1820631263338,1007.4119219443252,1367.024143049615,2156.2613926831195
220,2010,5,692.9235211181464,984.7540539330369,1335.43796191323,2120.2255312855914
221,2010,6,677.4665643926536,969.9607339391755,1320.9328065929428,2107.053703396963
222,2010,7,680.1999451752653,973.6612709988825,1324.271155672277,2111.171000883004
223,2010,8,683.70985248989,978.3017049707353,1330.4660785882538,2120.622008195028
224,2010,9,691.0572342320747,986.4891933893539,1341.6367332266886,2136.4568636638164
225,2010,10,699.6527640741822,996.0393369331346,1356.0013024404993,2155.065237995897
226,2010,11,704.7169498394549,1002.5939850537349,1369.3808280546039,2176.4510450613275
227,2010,12,712.7670279983886,1012.1218812868251,1378.0530266875255,2185.7890052624844
228,2011,1,717.070041420376,1020.0493575435532,1385.598735669103,2199.4317244018443
229,2011,2,720.9182362430389,1024.99577250736,1392.349211479272,2210.1658434003934
230,2011,3,714.2205600099304,1019.4432080149707,1386.9004138994821,2205.7444217592874
231,2011,4,736.8340622078352,1039.5572644519032,1403.6741834525033,2211.462540854385
232,2011,5,715.6583861379472,1020.8179040254423,1374.8997793915592,2178.730934458719
233,2011,6,700.9971377348072,1006.5062362063609,1361.7981077626628,2166.449132852813
234,2011,7,712.3853703626465,1018.0978484914485,1373.9062796499707,2178.7930030946836
235,2011,8,715.0708539252255,1021.2176226314516,1378.1360068252543,2184.73563128669
236,2011,9,723.3224971520934,1030.2038042591992,1389.7578273428571,2199.5195552667246
237,2011,10,728.8332148937537,1034.9934033258614,1401.840560546194,2215.959598889768
